name,quantity,calories,carbohydrate,fat,protein,link
Squid l?'au,"Squid Ring, 100 g",卡路里: 100,碳水化合: 3克,脂肪: 2克,蛋白質: 17克,Squid%20l?'au
Shrimp Louie,"Sodexo, 421 g",卡路里: 420,碳水化合: 19克,脂肪: 31克,蛋白質: 18克,Shrimp%20Louie
Black pudding,"Bury Black Pudding, 1 piece",卡路里: 69,碳水化合: 10.3克,脂肪: 1.4克,蛋白質: 4.4克,Black%20pudding
Cherry kebab,"Kebab, 0.5 kebab",卡路里: 329,碳水化合: 8克,脂肪: 14克,蛋白質: 44克,Cherry%20kebab
Sabich salad,1 sandwich,卡路里: 352,碳水化合: 39.6克,脂肪: 16.7克,蛋白質: 14.9克,Sabich%20salad
Mie kocok,"Mie Kocok, 1 bowl",卡路里: 400,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Mie%20kocok
Maraca pie,"la maraca, 100 gramo",卡路里: 590,碳水化合: 41克,脂肪: 41克,蛋白質: 15克,Maraca%20pie
Banga,"Banga mary, 1 oz",卡路里: 35,碳水化合: 0克,脂肪: 1.3克,蛋白質: 5.8克,Banga
Baccal? alla lucana,"Baccal??alla?Vicentina, 1 gram",卡路里: 520,碳水化合: 0.3克,脂肪: 48克,蛋白質: 21.5克,Baccal?%20alla%20lucana
Nasi tumpang,"Generic Nasi Tumpang, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Nasi%20tumpang
Gratin dauphinois,"Gratin, 100 g",卡路里: 110,碳水化合: 14.5克,脂肪: 5克,蛋白質: 3.2克,Gratin%20dauphinois
Arroz chaufa,"Generic, 1 plato (250g)",卡路里: 363,碳水化合: 47克,脂肪: 13.5克,蛋白質: 13.6克,Arroz%20chaufa
Kuih,"Kuih, 5 g",卡路里: 28,碳水化合: 2.6克,脂肪: 1.8克,蛋白質: 0.3克,Kuih
Ayam goreng,"Ayam Goreng, 120 g - 1 ketul",卡路里: 270,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Ayam%20goreng
Chongos zamoranos,"Gela, 100 Gr",卡路里: 300,碳水化合: 39克,脂肪: 12克,蛋白質: 8克,Chongos%20zamoranos
011c708,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,011c708
M?m?lig?,"Carrefour, 100 grame",卡路里: 232,碳水化合: 45克,脂肪: 4.5克,蛋白質: 3.7克,M?m?lig?
Candied almonds,25 pieces,卡路里: 123,碳水化合: 10.9克,脂肪: 8.1克,蛋白質: 3.5克,Candied%20almonds
Lasagne,"Bolognese Lasagne, 100 grammi",卡路里: 135,碳水化合: 10克,脂肪: 10克,蛋白質: 4克,Lasagne
Pecel Lele,"Pecel Lele Pinggir Jalan, 1 porsi",卡路里: 280,碳水化合: 0克,脂肪: 14克,蛋白質: 34.2克,Pecel%20Lele
Lettuce soup,"Homemade, 1 cup",卡路里: 80,碳水化合: 18克,脂肪: 0克,蛋白質: 3克,Lettuce%20soup
Acquacotta,"Yummly, 1 bowl",卡路里: 350,碳水化合: 25克,脂肪: 28克,蛋白質: 13克,Acquacotta
Pork blood soup,"Generic, 100 grams",卡路里: 78,碳水化合: 0.4克,脂肪: 0.9克,蛋白質: 18.4克,Pork%20blood%20soup
011sq8kg,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,011sq8kg
Buridda,"Food.com, 2 cups",卡路里: 280,碳水化合: 19克,脂肪: 8克,蛋白質: 33克,Buridda
Maccu,"Generic Maccu, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Maccu
Turkey Devonshire,120 g (1 portion),卡路里: 262,碳水化合: 4.2克,脂肪: 20.6克,蛋白質: 14.7克,Turkey%20Devonshire
Ginestrata,"Generic Ginestrata, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Ginestrata
Garmugia,"Generic Garmugia, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Garmugia
Meringue,"Meringue, 1 meringue",卡路里: 50,碳水化合: 12克,脂肪: 0.1克,蛋白質: 1克,Meringue
Peanut butter and jelly sandwich,"Keeli's Peanut Butter and Jelly Sandwich, 1 sandwich",卡路里: 280,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Peanut%20butter%20and%20jelly%20sandwich
Couque de Dinant,"Couque Dinant, 100 g",卡路里: 329,碳水化合: 75克,脂肪: 1.1克,蛋白質: 3.2克,Couque%20de%20Dinant
Omo tuo,"Omo, 1 peacan",卡路里: 12,碳水化合: 0.1克,脂肪: 1.2克,蛋白質: 1克,Omo%20tuo
Thapthim krop,"Generic Thapthim Krop, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Thapthim%20krop
Pie tee,"Nonya, 37.1 g (1 pc)",卡路里: 88,碳水化合: 8克,脂肪: 6克,蛋白質: 2克,Pie%20tee
Sutarfeni,"Bhavnagari?sutarfeni, 100 g",卡路里: 512,碳水化合: 62.1克,脂肪: 25.6克,蛋白質: 7.5克,Sutarfeni
Raclette,"Raclette-K?se, 100 gr",卡路里: 328,碳水化合: 1克,脂肪: 26克,蛋白質: 23克,Raclette
Wotou,"Generic Wotou, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Wotou
Punugulu,"Home Made, 1 serving",卡路里: 160,碳水化合: 30克,脂肪: 5克,蛋白質: 5克,Punugulu
Succotash,1 taza,卡路里: 221,碳水化合: 55.4克,脂肪: 1.5克,蛋白質: 9.7克,Succotash
Chim chum,"Generic Chim Chum, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Chim%20chum
Wachipa,"Generic Wachipa, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Wachipa
Boat noodles,"CP, 1 cup",卡路里: 150,碳水化合: 24克,脂肪: 4.5克,蛋白質: 6克,Boat%20noodles
Tantuni,"Tantuni, 1 lava?",卡路里: 392,碳水化合: 55克,脂肪: 12克,蛋白質: 15克,Tantuni
Shab Deg,"Slawa, 10 g",卡路里: 30,碳水化合: 0克,脂肪: 2.5克,蛋白質: 1.6克,Shab%20Deg
Ch? gi?,"Ch? gi? Vissan, 100 g",卡路里: 191,碳水化合: 31.3克,脂肪: 4.9克,蛋白質: 5.5克,Ch?%20gi?
Ciabatta Bacon Cheeseburger,"Wendy's, 1 sandwich",卡路里: 670,碳水化合: 42克,脂肪: 39克,蛋白質: 32克,Ciabatta%20Bacon%20Cheeseburger
Mie kangkung,1 Serving,卡路里: 114,碳水化合: 9.4克,脂肪: 7.2克,蛋白質: 6.5克,Mie%20kangkung
Tuwo masara,"Naija Foods, 250 gms",卡路里: 221,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Tuwo%20masara
Kokonte,"Home?Taste?Kokonte, 0.666667 cup?(55g)",卡路里: 230,碳水化合: 41克,脂肪: 8克,蛋白質: 3克,Kokonte
012vypzp,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,012vypzp
Bento,"Bento, 1 cup",卡路里: 267,碳水化合: 12.1克,脂肪: 15.8克,蛋白質: 22.6克,Bento
Osechi,"Daily Burn Tracker, 1 serving",卡路里: 160,碳水化合: 30克,脂肪: 0克,蛋白質: 9克,Osechi
Okonomiyaki,512.45 gramme,卡路里: 666,碳水化合: 70.9克,脂肪: 28.3克,蛋白質: 38.5克,Okonomiyaki
Miso soup,"Miso Soup, 1 cup",卡路里: 84,碳水化合: 7.8克,脂肪: 3.4克,蛋白質: 6克,Miso%20soup
Dango,"dango, 1 unit",卡路里: 131,碳水化合: 22克,脂肪: 0克,蛋白質: 1克,Dango
